Namespace(test_fraction=0.05, epochs=200, factorization_weight=0.99, regression_weight=0.01, shared_embeddings=True, logdir='run/shared=True_LF=0.99_LR=0.01')
training/Factorization Loss : 0.4622338902886196 , epoch 0
training/Factorization Loss : 0.11249021508841105 , epoch 104
training/MSE : 0.5961600207192923 , epoch 104
training/Joint Loss : 0.11732691368188268 , epoch 104
eval/Mean Reciprocal Rank : 0.12170046594678376 , epoch 104
eval/MSE : 0.8916341662406921 , epoch 104
training/Factorization Loss : 0.11174636185970357 , epoch 105
training/MSE : 0.5953616245940168 , epoch 105
training/Joint Loss : 0.11658251561945485 , epoch 105
eval/Mean Reciprocal Rank : 0.12195082267084861 , epoch 105
eval/MSE : 0.888368546962738 , epoch 105
training/Factorization Loss : 0.11179262156327886 , epoch 106
training/MSE : 0.5938868469768955 , epoch 106
training/Joint Loss : 0.11661356508291217 , epoch 106
eval/Mean Reciprocal Rank : 0.1205897968725794 , epoch 106
eval/MSE : 0.8905357718467712 , epoch 106
training/Factorization Loss : 0.11095918394545073 , epoch 107
training/MSE : 0.5945443617560531 , epoch 107
training/Joint Loss : 0.11579503651748421 , epoch 107
eval/Mean Reciprocal Rank : 0.12102974897329671 , epoch 107
eval/MSE : 0.8959408402442932 , epoch 107
training/Factorization Loss : 0.11161598615268226 , epoch 108
training/MSE : 0.5917115899664099 , epoch 108
training/Joint Loss : 0.11641694288901104 , epoch 108
eval/Mean Reciprocal Rank : 0.12285836682122184 , epoch 108
eval/MSE : 0.8903914093971252 , epoch 108
training/Factorization Loss : 0.1126183985422055 , epoch 109
training/MSE : 0.5917196264991196 , epoch 109
training/Joint Loss : 0.1174094118278033 , epoch 109
eval/Mean Reciprocal Rank : 0.12351035094309847 , epoch 109
eval/MSE : 0.8937732577323914 , epoch 109
training/Factorization Loss : 0.1117535894436221 , epoch 110
training/MSE : 0.5908729489291867 , epoch 110
training/Joint Loss : 0.11654478359606958 , epoch 110
eval/Mean Reciprocal Rank : 0.12525585744143292 , epoch 110
eval/MSE : 0.9014167785644531 , epoch 110
training/Factorization Loss : 0.11157000297179787 , epoch 111
training/MSE : 0.5904154261594178 , epoch 111
training/Joint Loss : 0.1163584583348805 , epoch 111
eval/Mean Reciprocal Rank : 0.12411574417176865 , epoch 111
eval/MSE : 0.9030532240867615 , epoch 111
training/Factorization Loss : 0.11059802121693088 , epoch 112
training/MSE : 0.5883005160477853 , epoch 112
training/Joint Loss : 0.11537504730926405 , epoch 112
eval/Mean Reciprocal Rank : 0.12461579849016127 , epoch 112
eval/MSE : 0.9004201292991638 , epoch 112
training/Factorization Loss : 0.1118761757388711 , epoch 113
training/MSE : 0.5873758606212114 , epoch 113
training/Joint Loss : 0.1166311735487593 , epoch 113
eval/Mean Reciprocal Rank : 0.12691119711166032 , epoch 113
eval/MSE : 0.900320291519165 , epoch 113
training/Factorization Loss : 0.10926916462279135 , epoch 114
training/MSE : 0.5866377449003599 , epoch 114
training/Joint Loss : 0.11404285083214442 , epoch 114
eval/Mean Reciprocal Rank : 0.1264414045062074 , epoch 114
eval/MSE : 0.9078884720802307 , epoch 114
training/Factorization Loss : 0.11017446476285175 , epoch 115
training/MSE : 0.5864261621909757 , epoch 115
training/Joint Loss : 0.11493698261197537 , epoch 115
eval/Mean Reciprocal Rank : 0.1239766691151259 , epoch 115
eval/MSE : 0.9016842842102051 , epoch 115
training/Factorization Loss : 0.11100258057316144 , epoch 116
training/MSE : 0.5858501188697354 , epoch 116
training/Joint Loss : 0.11575105678169959 , epoch 116
eval/Mean Reciprocal Rank : 0.12383327936553468 , epoch 116
eval/MSE : 0.9086558818817139 , epoch 116
training/Factorization Loss : 0.10881118394274225 , epoch 117
training/MSE : 0.5842093494470402 , epoch 117
training/Joint Loss : 0.11356516691145077 , epoch 117
eval/Mean Reciprocal Rank : 0.12515851945127301 , epoch 117
eval/MSE : 0.9156897664070129 , epoch 117
training/Factorization Loss : 0.10925731012817994 , epoch 118
training/MSE : 0.5835742620370721 , epoch 118
training/Joint Loss : 0.11400048034165496 , epoch 118
eval/Mean Reciprocal Rank : 0.1251173431701742 , epoch 118
eval/MSE : 0.9135154485702515 , epoch 118
training/Factorization Loss : 0.10805232376260783 , epoch 119
training/MSE : 0.5824582864360143 , epoch 119
training/Joint Loss : 0.11279638416023664 , epoch 119
eval/Mean Reciprocal Rank : 0.12682848129566165 , epoch 119
eval/MSE : 0.9109163880348206 , epoch 119
training/Factorization Loss : 0.10894918853356954 , epoch 120
training/MSE : 0.5821253410590592 , epoch 120
training/Joint Loss : 0.11368095072647257 , epoch 120
eval/Mean Reciprocal Rank : 0.12623304676709174 , epoch 120
eval/MSE : 0.920245885848999 , epoch 120
training/Factorization Loss : 0.10734560440785142 , epoch 121
training/MSE : 0.5823728882817811 , epoch 121
training/Joint Loss : 0.1120958779888448 , epoch 121
eval/Mean Reciprocal Rank : 0.12648751113784432 , epoch 121
eval/MSE : 0.9126458168029785 , epoch 121
training/Factorization Loss : 0.10851769307528132 , epoch 122
training/MSE : 0.5801657996671175 , epoch 122
training/Joint Loss : 0.11323417512880217 , epoch 122
eval/Mean Reciprocal Rank : 0.12619068768485026 , epoch 122
eval/MSE : 0.9215791821479797 , epoch 122
training/Factorization Loss : 0.10782313543141529 , epoch 123
training/MSE : 0.5807447401426171 , epoch 123
training/Joint Loss : 0.11255235230970767 , epoch 123
eval/Mean Reciprocal Rank : 0.12832814428270548 , epoch 123
eval/MSE : 0.9097525477409363 , epoch 123
training/Factorization Loss : 0.10809737464953814 , epoch 124
training/MSE : 0.579004795801255 , epoch 124
training/Joint Loss : 0.11280644978446666 , epoch 124
eval/Mean Reciprocal Rank : 0.1287977655012519 , epoch 124
eval/MSE : 0.9233527183532715 , epoch 124
training/Factorization Loss : 0.10705128095803722 , epoch 125
training/MSE : 0.5787023309898632 , epoch 125
training/Joint Loss : 0.11176779244335429 , epoch 125
eval/Mean Reciprocal Rank : 0.129368456570192 , epoch 125
eval/MSE : 0.911637008190155 , epoch 125
training/Factorization Loss : 0.10722330267671296 , epoch 126
training/MSE : 0.5778766596509565 , epoch 126
training/Joint Loss : 0.1119298370635157 , epoch 126
eval/Mean Reciprocal Rank : 0.1283044547034093 , epoch 126
eval/MSE : 0.9158094525337219 , epoch 126
training/Factorization Loss : 0.10718667897726258 , epoch 127
training/MSE : 0.5782583819762352 , epoch 127
training/Joint Loss : 0.11189739692515584 , epoch 127
eval/Mean Reciprocal Rank : 0.12923459353015043 , epoch 127
eval/MSE : 0.9172545075416565 , epoch 127
training/Factorization Loss : 0.10740055913926773 , epoch 128
training/MSE : 0.5775196217401053 , epoch 128
training/Joint Loss : 0.11210175052845991 , epoch 128
eval/Mean Reciprocal Rank : 0.1298619104340102 , epoch 128
eval/MSE : 0.9210118055343628 , epoch 128
training/Factorization Loss : 0.10831318132739554 , epoch 129
training/MSE : 0.5762608157851363 , epoch 129
training/Joint Loss : 0.11299265883061835 , epoch 129
eval/Mean Reciprocal Rank : 0.13060108349478763 , epoch 129
eval/MSE : 0.9236745834350586 , epoch 129
training/Factorization Loss : 0.10733435573356767 , epoch 130
training/MSE : 0.5753787440317933 , epoch 130
training/Joint Loss : 0.1120148005504762 , epoch 130
eval/Mean Reciprocal Rank : 0.12884358536192425 , epoch 130
eval/MSE : 0.9195536375045776 , epoch 130
training/Factorization Loss : 0.10743768398039123 , epoch 131
training/MSE : 0.5755821017808812 , epoch 131
training/Joint Loss : 0.11211912923802932 , epoch 131
eval/Mean Reciprocal Rank : 0.12873902012640295 , epoch 131
eval/MSE : 0.923376739025116 , epoch 131
training/Factorization Loss : 0.10622237940188697 , epoch 132
training/MSE : 0.5740314198117102 , epoch 132
training/Joint Loss : 0.1109004705062797 , epoch 132
eval/Mean Reciprocal Rank : 0.12939397423709206 , epoch 132
eval/MSE : 0.9214370846748352 , epoch 132
training/Factorization Loss : 0.10696790444474387 , epoch 133
training/MSE : 0.576507173959286 , epoch 133
training/Joint Loss : 0.1116632980805251 , epoch 133
eval/Mean Reciprocal Rank : 0.12821576053656997 , epoch 133
eval/MSE : 0.9202929735183716 , epoch 133
training/Factorization Loss : 0.10676118018486166 , epoch 134
training/MSE : 0.5736622408192645 , epoch 134
training/Joint Loss : 0.11143019142490561 , epoch 134
eval/Mean Reciprocal Rank : 0.12902162512876103 , epoch 134
eval/MSE : 0.9256406426429749 , epoch 134
training/Factorization Loss : 0.10436243001091224 , epoch 135
training/MSE : 0.5723838314253796 , epoch 135
training/Joint Loss : 0.10904264484121594 , epoch 135
eval/Mean Reciprocal Rank : 0.129493617362417 , epoch 135
eval/MSE : 0.9251488447189331 , epoch 135
training/Factorization Loss : 0.10523273606574343 , epoch 136
training/MSE : 0.5717144229559488 , epoch 136
training/Joint Loss : 0.10989755378054675 , epoch 136
eval/Mean Reciprocal Rank : 0.1299703503531092 , epoch 136
eval/MSE : 0.9193875789642334 , epoch 136
training/Factorization Loss : 0.1052712326348629 , epoch 137
training/MSE : 0.5734336824026159 , epoch 137
training/Joint Loss : 0.10995285809841207 , epoch 137
eval/Mean Reciprocal Rank : 0.13066379342480644 , epoch 137
eval/MSE : 0.9225180745124817 , epoch 137
training/Factorization Loss : 0.10624171423936082 , epoch 138
training/MSE : 0.5711639728597415 , epoch 138
training/Joint Loss : 0.11089093799913122 , epoch 138
eval/Mean Reciprocal Rank : 0.13098565139628676 , epoch 138
eval/MSE : 0.9140946269035339 , epoch 138
training/Factorization Loss : 0.10589314922089538 , epoch 139
training/MSE : 0.5709464364154364 , epoch 139
training/Joint Loss : 0.11054368293093096 , epoch 139
eval/Mean Reciprocal Rank : 0.13078421963611292 , epoch 139
eval/MSE : 0.9208675622940063 , epoch 139
training/Factorization Loss : 0.10501766654472518 , epoch 140
training/MSE : 0.5702568923113167 , epoch 140
training/Joint Loss : 0.10967005968534498 , epoch 140
eval/Mean Reciprocal Rank : 0.13052470932553534 , epoch 140
eval/MSE : 0.9260457158088684 , epoch 140
training/Factorization Loss : 0.10447184483630843 , epoch 141
training/MSE : 0.5687730304336035 , epoch 141
training/Joint Loss : 0.1091148575507505 , epoch 141
eval/Mean Reciprocal Rank : 0.12986566740244676 , epoch 141
eval/MSE : 0.9236515760421753 , epoch 141
training/Factorization Loss : 0.10565648578427812 , epoch 142
training/MSE : 0.5688352104156248 , epoch 142
training/Joint Loss : 0.11028827374340386 , epoch 142
eval/Mean Reciprocal Rank : 0.1308935300352342 , epoch 142
eval/MSE : 0.9201589822769165 , epoch 142
training/Factorization Loss : 0.10458832489506852 , epoch 143
training/MSE : 0.5690094267008126 , epoch 143
training/Joint Loss : 0.10923253685756716 , epoch 143
eval/Mean Reciprocal Rank : 0.12924827383641865 , epoch 143
eval/MSE : 0.9227274656295776 , epoch 143
training/Factorization Loss : 0.10364684075998362 , epoch 144
training/MSE : 0.5683434658473537 , epoch 144
training/Joint Loss : 0.10829380796521261 , epoch 144
eval/Mean Reciprocal Rank : 0.1302356741980315 , epoch 144
eval/MSE : 0.9276635646820068 , epoch 144
training/Factorization Loss : 0.10566979241106779 , epoch 145
training/MSE : 0.5674292317801907 , epoch 145
training/Joint Loss : 0.11028738794547896 , epoch 145
eval/Mean Reciprocal Rank : 0.12981036593507123 , epoch 145
eval/MSE : 0.9269845485687256 , epoch 145
training/Factorization Loss : 0.10545468086036303 , epoch 146
training/MSE : 0.5695884619509021 , epoch 146
training/Joint Loss : 0.110096019422335 , epoch 146
eval/Mean Reciprocal Rank : 0.13091372918795324 , epoch 146
eval/MSE : 0.923325777053833 , epoch 146
training/Factorization Loss : 0.10244279284711166 , epoch 147
training/MSE : 0.5674554847421185 , epoch 147
training/Joint Loss : 0.10709292063068959 , epoch 147
eval/Mean Reciprocal Rank : 0.1305318243670281 , epoch 147
eval/MSE : 0.9293525218963623 , epoch 147
training/Factorization Loss : 0.10245044773785017 , epoch 148
training/MSE : 0.5675768190494148 , epoch 148
training/Joint Loss : 0.10710171231579396 , epoch 148
eval/Mean Reciprocal Rank : 0.13072443081517243 , epoch 148
eval/MSE : 0.9320644736289978 , epoch 148
training/Factorization Loss : 0.10171398234062938 , epoch 149
training/MSE : 0.5669426669677099 , epoch 149
training/Joint Loss : 0.10636626981118674 , epoch 149
eval/Mean Reciprocal Rank : 0.13150823984937404 , epoch 149
eval/MSE : 0.9345146417617798 , epoch 149
training/Factorization Loss : 0.10208845337832807 , epoch 150
training/MSE : 0.5663683847073586 , epoch 150
training/Joint Loss : 0.10673125367611647 , epoch 150
eval/Mean Reciprocal Rank : 0.13157193628419978 , epoch 150
eval/MSE : 0.9329362511634827 , epoch 150
training/Factorization Loss : 0.10306098328162265 , epoch 151
training/MSE : 0.566299480776633 , epoch 151
training/Joint Loss : 0.10769336898961375 , epoch 151
eval/Mean Reciprocal Rank : 0.13257720074941276 , epoch 151
eval/MSE : 0.9277695417404175 , epoch 151
training/Factorization Loss : 0.1023084133542994 , epoch 152
training/MSE : 0.565367884052697 , epoch 152
training/Joint Loss : 0.10693900883998922 , epoch 152
eval/Mean Reciprocal Rank : 0.13329207395735573 , epoch 152
eval/MSE : 0.9349123239517212 , epoch 152
training/Factorization Loss : 0.10409587088681918 , epoch 153
training/MSE : 0.5658618972025892 , epoch 153
training/Joint Loss : 0.10871353215708207 , epoch 153
eval/Mean Reciprocal Rank : 0.13538342254833685 , epoch 153
eval/MSE : 0.9244072437286377 , epoch 153
training/Factorization Loss : 0.10238537946415524 , epoch 154
training/MSE : 0.5645057701615876 , epoch 154
training/Joint Loss : 0.10700658440429678 , epoch 154
eval/Mean Reciprocal Rank : 0.1350987486677053 , epoch 154
eval/MSE : 0.9350495338439941 , epoch 154
training/Factorization Loss : 0.10142825674065338 , epoch 155
training/MSE : 0.5643882123372888 , epoch 155
training/Joint Loss : 0.10605785701303713 , epoch 155
eval/Mean Reciprocal Rank : 0.13708621616693725 , epoch 155
eval/MSE : 0.9321648478507996 , epoch 155
training/Factorization Loss : 0.10201180488952706 , epoch 156
training/MSE : 0.5638883856515731 , epoch 156
training/Joint Loss : 0.10663057126665629 , epoch 156
eval/Mean Reciprocal Rank : 0.13629847652147922 , epoch 156
eval/MSE : 0.9258398413658142 , epoch 156
training/Factorization Loss : 0.10108363521235283 , epoch 157
training/MSE : 0.5637929584550602 , epoch 157
training/Joint Loss : 0.10571072919554608 , epoch 157
eval/Mean Reciprocal Rank : 0.13632432823278215 , epoch 157
eval/MSE : 0.9341822266578674 , epoch 157
training/Factorization Loss : 0.10119084060512563 , epoch 158
training/MSE : 0.5640918264786402 , epoch 158
training/Joint Loss : 0.10581985122013476 , epoch 158
eval/Mean Reciprocal Rank : 0.13575219157994756 , epoch 158
eval/MSE : 0.9253357648849487 , epoch 158
training/Factorization Loss : 0.102106646394297 , epoch 159
training/MSE : 0.5637752588397713 , epoch 159
training/Joint Loss : 0.10672333344857218 , epoch 159
eval/Mean Reciprocal Rank : 0.1364156199405046 , epoch 159
eval/MSE : 0.9299111366271973 , epoch 159
training/Factorization Loss : 0.10155894747504624 , epoch 160
training/MSE : 0.5639237072519077 , epoch 160
training/Joint Loss : 0.10618259601535336 , epoch 160
eval/Mean Reciprocal Rank : 0.1368775962826934 , epoch 160
eval/MSE : 0.9387014508247375 , epoch 160
training/Factorization Loss : 0.10134577766181 , epoch 161
training/MSE : 0.5621894211057694 , epoch 161
training/Joint Loss : 0.10595421473024993 , epoch 161
eval/Mean Reciprocal Rank : 0.13887731665141337 , epoch 161
eval/MSE : 0.9408220648765564 , epoch 161
training/Factorization Loss : 0.10279620893459807 , epoch 162
training/MSE : 0.5623402462531162 , epoch 162
training/Joint Loss : 0.10739165011753318 , epoch 162
eval/Mean Reciprocal Rank : 0.13734005426062412 , epoch 162
eval/MSE : 0.9377831816673279 , epoch 162
training/Factorization Loss : 0.0999347095588042 , epoch 163
training/MSE : 0.5623369924323534 , epoch 163
training/Joint Loss : 0.10455873317175335 , epoch 163
eval/Mean Reciprocal Rank : 0.1367130210507771 , epoch 163
eval/MSE : 0.9340074062347412 , epoch 163
training/Factorization Loss : 0.10167503475101404 , epoch 164
training/MSE : 0.5616656221369262 , epoch 164
training/Joint Loss : 0.10627494121511136 , epoch 164
eval/Mean Reciprocal Rank : 0.13702999763471813 , epoch 164
eval/MSE : 0.9326132535934448 , epoch 164
training/Factorization Loss : 0.09973606081699492 , epoch 165
training/MSE : 0.5616003292542632 , epoch 165
training/Joint Loss : 0.1043547040792883 , epoch 165
eval/Mean Reciprocal Rank : 0.1375866480785906 , epoch 165
eval/MSE : 0.9431400299072266 , epoch 165
training/Factorization Loss : 0.10000513599164063 , epoch 166
training/MSE : 0.5621191537187945 , epoch 166
training/Joint Loss : 0.1046262770410507 , epoch 166
eval/Mean Reciprocal Rank : 0.13822742095759302 , epoch 166
eval/MSE : 0.9406077265739441 , epoch 166
training/Factorization Loss : 0.10053985688074302 , epoch 167
training/MSE : 0.5615211154824944 , epoch 167
training/Joint Loss : 0.10514967006340784 , epoch 167
eval/Mean Reciprocal Rank : 0.1385649184620306 , epoch 167
eval/MSE : 0.9418741464614868 , epoch 167
training/Factorization Loss : 0.09886044033512634 , epoch 168
training/MSE : 0.5610535415590451 , epoch 168
training/Joint Loss : 0.10348237175694718 , epoch 168
eval/Mean Reciprocal Rank : 0.13736514179741743 , epoch 168
eval/MSE : 0.9431296586990356 , epoch 168
training/Factorization Loss : 0.10033431257652019 , epoch 169
training/MSE : 0.5616723387952773 , epoch 169
training/Joint Loss : 0.10494769372606791 , epoch 169
eval/Mean Reciprocal Rank : 0.1379151685383398 , epoch 169
eval/MSE : 0.9412656426429749 , epoch 169
training/Factorization Loss : 0.0995570093353269 , epoch 170
training/MSE : 0.5600411325532902 , epoch 170
training/Joint Loss : 0.10416185112810263 , epoch 170
eval/Mean Reciprocal Rank : 0.13595740648340934 , epoch 170
eval/MSE : 0.9435058832168579 , epoch 170
training/Factorization Loss : 0.09914155136192998 , epoch 171
training/MSE : 0.5598906754486023 , epoch 171
training/Joint Loss : 0.10374904329818423 , epoch 171
eval/Mean Reciprocal Rank : 0.13688524950578798 , epoch 171
eval/MSE : 0.9443576335906982 , epoch 171
training/Factorization Loss : 0.09938433187543064 , epoch 172
training/MSE : 0.5608066188231591 , epoch 172
training/Joint Loss : 0.10399855550138219 , epoch 172
eval/Mean Reciprocal Rank : 0.13646002476304467 , epoch 172
eval/MSE : 0.9435686469078064 , epoch 172
training/Factorization Loss : 0.09922788625643138 , epoch 173
training/MSE : 0.559950737382776 , epoch 173
training/Joint Loss : 0.10383511561980491 , epoch 173
eval/Mean Reciprocal Rank : 0.13754656891918784 , epoch 173
eval/MSE : 0.9352393746376038 , epoch 173
training/Factorization Loss : 0.09932347098321614 , epoch 174
training/MSE : 0.5604976153662128 , epoch 174
training/Joint Loss : 0.10393521319248623 , epoch 174
eval/Mean Reciprocal Rank : 0.1348881167346032 , epoch 174
eval/MSE : 0.9378035068511963 , epoch 174
training/Factorization Loss : 0.09938796450414004 , epoch 175
training/MSE : 0.561449566916112 , epoch 175
training/Joint Loss : 0.10400858148932457 , epoch 175
eval/Mean Reciprocal Rank : 0.13657682434552346 , epoch 175
eval/MSE : 0.9438115358352661 , epoch 175
training/Factorization Loss : 0.09934849127806643 , epoch 176
training/MSE : 0.5603050696112777 , epoch 176
training/Joint Loss : 0.10395805794064716 , epoch 176
eval/Mean Reciprocal Rank : 0.13686180743589157 , epoch 176
eval/MSE : 0.9397635459899902 , epoch 176
training/Factorization Loss : 0.09928040016162139 , epoch 177
training/MSE : 0.5595070498604928 , epoch 177
training/Joint Loss : 0.10388266747837425 , epoch 177
eval/Mean Reciprocal Rank : 0.1362818505575222 , epoch 177
eval/MSE : 0.9435461163520813 , epoch 177
training/Factorization Loss : 0.09804110372218713 , epoch 178
training/MSE : 0.5601445048727015 , epoch 178
training/Joint Loss : 0.10266213863086636 , epoch 178
eval/Mean Reciprocal Rank : 0.13463301104413056 , epoch 178
eval/MSE : 0.9469662308692932 , epoch 178
training/Factorization Loss : 0.09912673872645184 , epoch 179
training/MSE : 0.5593948458792061 , epoch 179
training/Joint Loss : 0.10372942068203482 , epoch 179
eval/Mean Reciprocal Rank : 0.13444878311819622 , epoch 179
eval/MSE : 0.938873827457428 , epoch 179
training/Factorization Loss : 0.09854694374746853 , epoch 180
training/MSE : 0.5581063278099542 , epoch 180
training/Joint Loss : 0.10314253825814493 , epoch 180
eval/Mean Reciprocal Rank : 0.13445485350245115 , epoch 180
eval/MSE : 0.9343984127044678 , epoch 180
training/Factorization Loss : 0.0978668724256818 , epoch 181
training/MSE : 0.5590413485163002 , epoch 181
training/Joint Loss : 0.10247861782229074 , epoch 181
eval/Mean Reciprocal Rank : 0.13788584250218652 , epoch 181
eval/MSE : 0.9406496286392212 , epoch 181
training/Factorization Loss : 0.0989803597331047 , epoch 182
training/MSE : 0.5594321984437204 , epoch 182
training/Joint Loss : 0.10358487912804208 , epoch 182
eval/Mean Reciprocal Rank : 0.1381977644611215 , epoch 182
eval/MSE : 0.9408383965492249 , epoch 182
training/Factorization Loss : 0.09942110927314848 , epoch 183
training/MSE : 0.5589270865724932 , epoch 183
training/Joint Loss : 0.10401617015601806 , epoch 183
eval/Mean Reciprocal Rank : 0.1383909041261563 , epoch 183
eval/MSE : 0.9418509602546692 , epoch 183
training/Factorization Loss : 0.0985775700700219 , epoch 184
training/MSE : 0.5585920719369766 , epoch 184
training/Joint Loss : 0.10317771554353737 , epoch 184
eval/Mean Reciprocal Rank : 0.14026833650655413 , epoch 184
eval/MSE : 0.9347189664840698 , epoch 184
training/Factorization Loss : 0.09786134323365586 , epoch 185
training/MSE : 0.5587921467038893 , epoch 185
training/Joint Loss : 0.1024706519098692 , epoch 185
eval/Mean Reciprocal Rank : 0.14010460776170197 , epoch 185
eval/MSE : 0.9365406036376953 , epoch 185
training/Factorization Loss : 0.09887849577572397 , epoch 186
training/MSE : 0.5575044785616219 , epoch 186
training/Joint Loss : 0.10346475624108828 , epoch 186
eval/Mean Reciprocal Rank : 0.13965472195153114 , epoch 186
eval/MSE : 0.9461920857429504 , epoch 186
training/Factorization Loss : 0.09943836280495248 , epoch 187
training/MSE : 0.559160524718864 , epoch 187
training/Joint Loss : 0.1040355854978164 , epoch 187
eval/Mean Reciprocal Rank : 0.14074620053659448 , epoch 187
eval/MSE : 0.9442713856697083 , epoch 187
training/Factorization Loss : 0.09698883816599846 , epoch 188
training/MSE : 0.5574496315531833 , epoch 188
training/Joint Loss : 0.10159344719572654 , epoch 188
eval/Mean Reciprocal Rank : 0.13986894953954276 , epoch 188
eval/MSE : 0.9371028542518616 , epoch 188
training/Factorization Loss : 0.0985508253898031 , epoch 189
training/MSE : 0.557411700807592 , epoch 189
training/Joint Loss : 0.10313943501121255 , epoch 189
eval/Mean Reciprocal Rank : 0.1388565852454724 , epoch 189
eval/MSE : 0.9467450976371765 , epoch 189
training/Factorization Loss : 0.09850584118757197 , epoch 190
training/MSE : 0.5569665250919198 , epoch 190
training/Joint Loss : 0.10309044872560809 , epoch 190
eval/Mean Reciprocal Rank : 0.14045664540893862 , epoch 190
eval/MSE : 0.9434105753898621 , epoch 190
training/Factorization Loss : 0.09643197067642725 , epoch 191
training/MSE : 0.5573330894913725 , epoch 191
training/Joint Loss : 0.10104098266130813 , epoch 191
eval/Mean Reciprocal Rank : 0.13919053404298365 , epoch 191
eval/MSE : 0.9468884468078613 , epoch 191
training/Factorization Loss : 0.09618493348800687 , epoch 192
training/MSE : 0.5575632700516332 , epoch 192
training/Joint Loss : 0.100798717339433 , epoch 192
eval/Mean Reciprocal Rank : 0.13901265872810492 , epoch 192
eval/MSE : 0.9529078006744385 , epoch 192
training/Factorization Loss : 0.09564383113406279 , epoch 193
training/MSE : 0.5571531707080462 , epoch 193
training/Joint Loss : 0.1002589251485563 , epoch 193
eval/Mean Reciprocal Rank : 0.1398602549593334 , epoch 193
eval/MSE : 0.9390759468078613 , epoch 193
training/Factorization Loss : 0.09724518315245707 , epoch 194
training/MSE : 0.5565726257139637 , epoch 194
training/Joint Loss : 0.1018384582993965 , epoch 194
eval/Mean Reciprocal Rank : 0.13815368036561693 , epoch 194
eval/MSE : 0.9492522478103638 , epoch 194
training/Factorization Loss : 0.09659586368148686 , epoch 195
training/MSE : 0.5551780032855208 , epoch 195
training/Joint Loss : 0.1011816859145158 , epoch 195
eval/Mean Reciprocal Rank : 0.1400744796313681 , epoch 195
eval/MSE : 0.9507669806480408 , epoch 195
training/Factorization Loss : 0.09671513503918083 , epoch 196
training/MSE : 0.5559767213880374 , epoch 196
training/Joint Loss : 0.10130775148069025 , epoch 196
eval/Mean Reciprocal Rank : 0.14001167566205797 , epoch 196
eval/MSE : 0.9495130777359009 , epoch 196
training/Factorization Loss : 0.09697096672670175 , epoch 197
training/MSE : 0.5556100570867138 , epoch 197
training/Joint Loss : 0.1015573587313655 , epoch 197
eval/Mean Reciprocal Rank : 0.1383429916114838 , epoch 197
eval/MSE : 0.9410998225212097 , epoch 197
training/Factorization Loss : 0.09667644779928909 , epoch 198
training/MSE : 0.5564854118612504 , epoch 198
training/Joint Loss : 0.10127453828450814 , epoch 198
eval/Mean Reciprocal Rank : 0.13927387158273197 , epoch 198
eval/MSE : 0.9547045826911926 , epoch 198
training/Factorization Loss : 0.09552338565148974 , epoch 199
training/MSE : 0.5557352818789021 , epoch 199
training/Joint Loss : 0.10012550544874962 , epoch 199
eval/Mean Reciprocal Rank : 0.1380503513769697 , epoch 199
eval/MSE : 0.9564232230186462 , epoch 199
